Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Negative Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000117),0.852423683449897,1.604972730798873,3.274559e-02,7.716667e-01,4.510000e-01,3/6,5.80%,CST4;CST1;CST2
prerank,Regulation Of Mitotic Cell Cycle (GO:0007346),0.8364871395559509,1.58405448929707,1.507538e-02,4.891439e-01,5.300000e-01,5/7,17.00%,CDC25C;PKMYT1;FBXO43;NEK2;DLGAP5
prerank,Positive Regulation Of Cell Adhesion (GO:0045785),0.8197519820149742,1.5407718462128401,3.166227e-02,5.186612e-01,6.950000e-01,1/7,0.80%,IBSP
prerank,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),0.8247123627064297,1.533662095907259,3.950617e-02,4.227300e-01,7.230000e-01,1/6,9.00%,CLEC6A
prerank,Gland Development (GO:0048732),-0.9088209294533802,-1.5314341374850837,7.092199e-03,1.000000e+00,5.130000e-01,2/5,6.80%,TCF21;PROX1
prerank,Renal System Development (GO:0072001),-0.9208748568415874,-1.5312981230997442,8.680556e-03,6.391648e-01,5.130000e-01,3/5,6.80%,TCF21;MYOCD;PROX1
prerank,Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279),-0.869154767772427,-1.51816949366626,1.286174e-02,5.279659e-01,5.910000e-01,2/6,9.80%,TRDN;NOS1
prerank,Regulation Of DNA-templated Transcription (GO:0006355),-0.6015685795690379,-1.5010365077734436,1.580460e-02,4.973725e-01,6.630000e-01,11/36,19.40%,ZSCAN4;TCF21;MYOCD;PROX1;NOS1;PKNOX2;RHOXF1;MYH2;LMX1A;PRDM16;PRDM5
prerank,Negative Regulation Of Endopeptidase Activity (GO:0010951),0.7840114900621218,1.4881624121818438,6.266319e-02,5.264201e-01,8.490000e-01,3/7,5.80%,CST4;CST1;CST2
prerank,Protein Autophosphorylation (GO:0046777),0.8339993982667513,1.4753333076700987,6.377551e-02,4.887222e-01,8.690000e-01,3/5,16.40%,NEK2;MELK;AURKB
prerank,Hemopoiesis (GO:0030097),0.8547276318881272,1.4742346752176714,6.451613e-02,4.230011e-01,8.700000e-01,2/5,14.60%,TMEM190;MELK
prerank,Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123),0.8330552785373669,1.468318853921715,6.235012e-02,3.894176e-01,8.810000e-01,1/5,9.00%,CLEC6A
prerank,Regulation Of Cell Cycle Process (GO:0010564),0.7980868754011633,1.4631212468002017,6.987952e-02,3.613293e-01,8.930000e-01,6/7,21.00%,CDC25C;PKMYT1;FBXO43;NEK2;AURKB;FSD1
prerank,Central Nervous System Development (GO:0007417),-0.7436873660680456,-1.4505151823990938,3.761755e-02,7.483120e-01,8.520000e-01,4/10,15.00%,PROX1;CNTN6;GRIK1;SCTR
prerank,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),-0.8468750709770585,-1.4482864469279761,4.262295e-02,6.387985e-01,8.590000e-01,1/6,11.80%,BTNL9
prerank,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),0.8383838383838382,1.4464893811809036,6.361323e-02,3.324339e-01,9.180000e-01,5/5,17.00%,NUF2;KIF4A;AURKB;BIRC5;DLGAP5
prerank,Mitotic Spindle Organization (GO:0007052),0.8383838383838382,1.4464893811809036,6.361323e-02,3.324339e-01,9.180000e-01,5/5,17.00%,NUF2;KIF4A;AURKB;BIRC5;DLGAP5
prerank,Regulation Of Transcription By RNA Polymerase II (GO:0006357),-0.5651822876766874,-1.437870208151082,3.413940e-02,6.101940e-01,8.880000e-01,12/40,19.40%,ZSCAN4;TCF21;MYOCD;PROX1;NEUROG2;NOS1;PKNOX2;RHOXF1;MYH2;LMX1A;PRDM16;PRDM5
prerank,Proteolysis (GO:0006508),-0.674950416944536,-1.3775727942783753,8.282209e-02,9.690519e-01,9.800000e-01,5/13,13.60%,CPA1;PAPPA2;TRHDE;CPA2;NAALAD2
prerank,Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007200),-0.8145919842053265,-1.370539462230181,7.931034e-02,9.180476e-01,9.840000e-01,2/5,13.00%,GPR17;VIP
prerank,Cellular Response To Peptide Hormone Stimulus (GO:0071375),-0.8316696416642091,-1.3688679757432385,6.271186e-02,8.413014e-01,9.850000e-01,3/5,11.40%,CPEB1;SLC2A4;CRHBP
prerank,Negative Regulation Of Cell Differentiation (GO:0045596),-0.8281006836401146,-1.345816138952103,6.968641e-02,9.317927e-01,9.950000e-01,1/5,6.60%,MYOCD
prerank,Regulation Of Neuron Apoptotic Process (GO:0043523),0.7701324771146082,1.3436118245493205,1.286031e-01,5.980768e-01,9.860000e-01,3/5,22.40%,GRM4;KIF14;MT3
prerank,Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091),-0.7450883564612916,-1.3294650019925744,1.026490e-01,9.734028e-01,1.000000e+00,4/7,25.40%,MYOCD;NEUROG2;CD36;EPHA5
prerank,Nervous System Development (GO:0007399),-0.6398112821892873,-1.3294166942228183,1.368421e-01,8.989484e-01,1.000000e+00,5/15,16.20%,NRXN1;PROX1;CNTN6;GRIK1;ACVR1C
prerank,Apoptotic Process (GO:0006915),-0.7675365506933127,-1.3219108565697217,1.230503e-01,8.845928e-01,1.000000e+00,1/6,3.20%,CASP12
prerank,Negative Regulation Of Cell Population Proliferation (GO:0008285),-0.6800682908221585,-1.3069260427910652,1.373802e-01,9.206612e-01,1.000000e+00,4/10,16.20%,MYOCD;PROX1;VIP;ACVR1C
prerank,Sterol Metabolic Process (GO:0016125),-0.7795681198742211,-1.2880141333026536,1.468048e-01,9.841655e-01,1.000000e+00,1/5,2.00%,APOB
prerank,Regulation Of Inflammatory Response (GO:0050727),0.6928678643861659,1.2873453877583854,1.939058e-01,7.348836e-01,9.980000e-01,3/7,29.40%,PROC;IL12B;APOA1
prerank,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),-0.6361258253495826,-1.2856693911565802,1.524106e-01,9.422436e-01,1.000000e+00,3/13,18.40%,MYOCD;NOS1;PRDM16
prerank,Muscle Contraction (GO:0006936),-0.7299761780439215,-1.2847995606157374,1.419355e-01,8.946598e-01,1.000000e+00,4/7,17.80%,TRDN;NOS1;MYH2;KCNIP2
prerank,Immunoglobulin Mediated Immune Response (GO:0016064),0.7159577658446399,1.2844812074551721,2.091837e-01,6.908857e-01,9.980000e-01,2/6,24.20%,IL9R;IL21R
prerank,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),-0.5593863234881927,-1.2706061389626941,1.473214e-01,9.278115e-01,1.000000e+00,7/21,19.40%,TCF21;MYOCD;PROX1;NEUROG2;NOS1;LMX1A;PRDM5
prerank,Negative Regulation Of Cytokine Production (GO:0001818),0.6631841476824656,1.2701381106733471,2.231405e-01,6.884560e-01,9.990000e-01,4/7,29.40%,IL12B;FOXP3;FOXJ1;APOA1
prerank,Regulation Of Cell Adhesion (GO:0030155),0.6536963550246354,1.2689579933460107,1.984334e-01,6.495388e-01,9.990000e-01,1/8,0.80%,IBSP
prerank,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),-0.6396971075204823,-1.2661874451190982,1.693038e-01,9.050530e-01,1.000000e+00,4/11,15.00%,ADCYAP1R1;CRHR2;VIP;SCTR
prerank,Positive Regulation Of Protein Kinase Activity (GO:0045860),0.7105034346232348,1.2631537252647573,2.193878e-01,6.265110e-01,9.990000e-01,2/5,22.60%,KIF14;IL12B
prerank,Axonogenesis (GO:0007409),-0.7044451896982598,-1.2485330369109606,2.003257e-01,9.594146e-01,1.000000e+00,2/7,7.20%,NRXN1;CNTN6
