Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,G2-M Checkpoint,-0.8492871690427698,-1.7013151889811464,5.000000e-03,3.641092e-02,2.038736e-02,9/9,16.80%,TROAP;NEK2;CENPA;KIF4A;EXO1;CDC45;PBK;AURKB;BIRC5
prerank,E2F Targets,-0.8417849898580122,-1.555205595892624,2.512563e-02,1.083225e-01,1.090724e-01,7/7,17.20%,SPC24;KIF4A;KIF18B;MELK;AURKB;BIRC5;DLGAP5
prerank,Myogenesis,0.784620597661296,1.4375967358412964,4.643449e-02,1.350122e-01,2.280000e-01,6/8,20.80%,NOS1;MYH2;PYGM;MYOM1;NCAM1;CD36
prerank,Allograft Rejection,-0.6906304471090491,-1.3693743326073482,1.132075e-01,2.821847e-01,3.588175e-01,1/9,3.80%,CCL11
prerank,IL-2/STAT5 Signaling,-0.6580596496670084,-1.1496485286888314,3.367876e-01,5.539012e-01,7.033639e-01,2/5,24.60%,TNFRSF9;TNFRSF18
prerank,Inflammatory Response,0.5292272932997009,1.0155130276819688,4.861538e-01,7.274574e-01,9.650000e-01,2/10,16.20%,VIP;GPC3
prerank,Spermatogenesis,-0.4663238489850001,-1.0109768095560454,4.322251e-01,6.539402e-01,8.511723e-01,4/11,12.80%,TUBA3C;CNIH2;TNNI3;NEK2
prerank,KRAS Signaling Dn,-0.2994410678340866,-0.6680050766752443,8.925620e-01,1.000000e+00,9.857288e-01,3/13,10.60%,TNNI3;NPHS1;HTR1D
prerank,Complement,-0.34602085389269877,-0.5914653194447108,9.302326e-01,9.250975e-01,9.938838e-01,1/5,5.20%,MMP13
prerank,IL-6/JAK/STAT3 Signaling,0.29446866392539306,0.4962788350334881,9.816054e-01,9.835906e-01,1.000000e+00,1/5,20.80%,CD36
